household_ID,have_backup_generator,generate_electicity_using_solar_energy,generate_electicity_using_bio_energy,generate_electicity_using_mini_hydropower,generate_electicity_using_wind_power,generate_electicity_using_other_methods,solar_system_ongrid_or_offgird,solar_system_invertor_or_noninvertor,solar_energy_used_for_water_heating,solar_energy_used_for_cooking,solar_energy_used_for_outdoor_lighting,solar_energy_used_for_car_charging,solar_energy_used_for_agricultural_systems,solar_energy_used_for_all_above,solar_energy_used_for_other_purposes,aware_of_no_of_units_generated_by_solar_system,no_of_units_generated_by_solar_system,when_was_solar_system_installed,have_system_to_store_backup_energy,method_of_receiving_water,water_heating_method_for_bathing,does_water_heating_equipment_serve_other_housing_units,household_members_used_hot_water_last_week,boil_water_before_drinking,source_of_energy_for_boiling_drinking_water,no_of_times_food_cooked_last_week,gas_used_for_cooking,electricity_from_national_grid_used_for_cooking,electricity_generated_using_solar_energy_used_for_cooking,firewood_used_for_cooking,kerosene_used_for_cooking,sawdust_or_paddy_husk_used_for_cooking,biogas_used_for_cooking,coconut_shells_or_charcoal_used_for_cooking,other_methods_used_for_cooking
ID0016,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use heated water through an electric kettle/heater.",,Yes,Yes,Firewood,More than 21 times,Yes,No,No,Yes,No,No,No,No,No
ID0017,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Electricity (directly from the national grid),1-7 times,No,No,No,Yes,No,No,No,No,No
ID0018,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,Before November 2022,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by solar energy.,No,Yes,No,,More than 21 times,Yes,No,No,No,No,No,No,No,No
ID0019,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Gas,More than 21 times,Yes,Yes,No,No,No,No,No,No,No
ID0020,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,15 - 21 times,Yes,No,No,Yes,No,No,No,No,No
ID0021,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,No,No,,1-7 times,Yes,Yes,No,No,No,No,No,No,No
ID0022,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,No,,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0023,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use heated water through an electric kettle/heater.",,No,Yes,Electricity (directly from the national grid),1-7 times,Yes,No,No,No,No,No,No,No,No
ID0024,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,No,,8 - 14 times,Yes,Yes,No,No,No,No,No,No,No
ID0025,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0026,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use heated water through an electric kettle/heater.",,No,Yes,Electricity (directly from the national grid),1-7 times,Yes,Yes,No,No,No,No,No,No,No
ID0027,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,15 - 21 times,Yes,No,No,No,No,No,No,No,No
ID0028,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,No,No,Yes,No,No,No,No,No
ID0029,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Electricity (directly from the national grid),1-7 times,Yes,No,No,No,No,No,No,No,No
ID0030,No,No,No,No,No,No,,,,,,,,,,,,,No,Protected well,"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,No,No,No,Yes,No,No,No,No,No
ID0031,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Firewood,8 - 14 times,No,No,No,Yes,No,No,No,No,No
ID0032,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,No,No,Yes,No,No,No,No,No
ID0033,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,Yes,Gas,8 - 14 times,Yes,No,No,Yes,No,No,No,No,No
ID0034,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,No,No,No,Yes,No,No,No,No,No
ID0035,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Firewood,8 - 14 times,Yes,No,No,Yes,No,No,No,No,No
ID0036,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,15 - 21 times,Yes,No,No,No,No,No,No,No,No
ID0037,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0038,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0039,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,124.0,After November 2022,Yes,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered both by solar and the grid supply.,No,Yes,Yes,Gas,8 - 14 times,Yes,Yes,Yes,No,No,No,No,No,No
ID0040,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0041,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,465.4,Before November 2022,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,Yes,Gas,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0042,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0043,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,Before November 2022,No,Protected well,We have an in-built water heating system powered solely by solar energy.,No,No,No,,15 - 21 times,Yes,No,No,No,No,No,No,No,No
ID0044,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,Did not cook at home last week,No,No,No,No,No,No,No,No,Yes
ID0045,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0046,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0047,No,No,No,No,No,No,,,,,,,,,,,,,No,Protected well,"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,No,No,No,Yes,No,No,No,No,No
ID0048,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use heated water through an electric kettle/heater.",,Yes,Yes,Gas,15 - 21 times,Yes,No,No,No,No,No,No,No,No
ID0049,No,No,No,No,No,No,,,,,,,,,,,,,Yes,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0050,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,Yes,No,No,No,No,No,No,No
ID0051,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,Yes,Gas,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0052,Yes,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,No,No,,15 - 21 times,Yes,No,No,No,No,No,No,No,No
ID0053,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,No,No,No,Yes,No,No,No,No,No
ID0054,No,No,No,No,No,No,,,,,,,,,,,,,Yes,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0055,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0056,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,Did not cook at home last week,Yes,No,No,No,No,No,No,No,No
ID0057,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,15 - 21 times,Yes,Yes,No,No,No,No,No,No,No
ID0058,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Electricity (directly from the national grid),1-7 times,Yes,No,No,No,No,No,No,No,No
ID0059,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,Yes,Yes,No,,1-7 times,Yes,Yes,No,No,No,No,No,No,No
ID0060,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Firewood,8 - 14 times,Yes,No,No,Yes,No,No,No,No,No
ID0061,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0062,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0063,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,No,,Did not cook at home last week,No,No,No,No,No,No,No,No,Yes
ID0064,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (Private Water Projects),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Firewood,8 - 14 times,Yes,Yes,No,Yes,No,No,No,No,No
ID0065,No,No,No,No,No,No,,,,,,,,,,,,,No,Protected well,"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Firewood,8 - 14 times,No,No,No,Yes,No,No,No,No,No
ID0066,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,1830.0,Before November 2022,Yes,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,No,,15 - 21 times,Yes,No,No,No,No,No,No,No,No
ID0067,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,Before November 2022,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,No,Yes,Electricity (directly from the national grid),15 - 21 times,Yes,No,No,No,No,No,No,No,No
ID0068,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,Yes,Firewood,8 - 14 times,Yes,No,No,Yes,No,No,No,No,No
ID0069,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by solar energy.,No,Yes,Yes,Electricity (directly from the national grid),1-7 times,Yes,No,No,No,Yes,No,No,No,No
ID0070,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,Yes,No,No,No,No,No,No,No
ID0071,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,Yes,No,No,No,No,No,No,No
ID0072,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Gas,8 - 14 times,Yes,No,No,Yes,No,No,No,No,No
ID0073,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,More than 21 times,Yes,Yes,No,Yes,No,No,No,No,No
ID0074,No,No,No,No,No,No,,,,,,,,,,,,,No,Protected well,"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0075,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Electricity (directly from the national grid),15 - 21 times,Yes,No,No,No,No,No,No,No,No
ID0076,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0077,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0078,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Gas,1-7 times,Yes,Yes,No,No,No,No,No,No,No
ID0079,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,209.0,Before November 2022,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by solar energy.,No,Yes,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0080,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,Yes,Firewood,15 - 21 times,Yes,No,No,Yes,No,No,No,No,No
ID0081,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0082,No,No,No,No,No,No,,,,,,,,,,,,,No,Tube well,"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,Did not cook at home last week,Yes,No,No,No,No,No,No,No,No
ID0083,No,No,No,No,No,No,,,,,,,,,,,,,Yes,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered both by solar and the grid supply.,No,Yes,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0084,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0085,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0086,No,No,No,No,No,No,,,,,,,,,,,,,No,Tube well,"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Firewood,8 - 14 times,Yes,Yes,No,Yes,No,No,No,No,No
ID0087,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,No,No,Yes,No,No,No,No,No
ID0088,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0089,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0090,No,No,No,No,No,No,,,,,,,,,,,,,No,Tube well,"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Gas,8 - 14 times,Yes,Yes,No,No,No,No,No,No,No
ID0091,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Electricity (directly from the national grid),8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0092,No,No,No,No,No,No,,,,,,,,,,,,,Yes,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0093,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,734.0,Before November 2022,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered both by solar and the grid supply.,No,Yes,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0094,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,Yes,No,,8 - 14 times,Yes,Yes,No,No,No,No,No,No,No
ID0095,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,1-7 times,Yes,No,No,No,No,No,No,No,No
ID0096,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0097,No,No,No,No,No,No,,,,,,,,,,,,,Yes,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,No,,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0098,No,No,No,No,No,No,,,,,,,,,,,,,No,Tube well,"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,15 - 21 times,Yes,No,No,Yes,No,No,No,No,No
ID0099,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (Community-based water supply and management organization),"None, we do not use hot water for bathing or body wash purposes.",,,No,,Did not cook at home last week,Yes,No,No,No,No,No,No,No,No
ID0100,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"We don't have an inbuilt system for water heating, we use water heated by means such as gas, firewood etc. (other than electric kettle, electric water heater or water heated using any other electrical appliance).",,No,Yes,Electricity (directly from the national grid),1-7 times,Yes,No,No,No,No,No,No,No,No
ID0101,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Electricity (directly from the national grid),1-7 times,Yes,No,No,No,No,No,No,No,No
ID0102,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Gas,8 - 14 times,Yes,No,No,No,No,No,No,No,No
ID0103,No,No,No,No,No,No,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,Yes,Electricity (directly from the national grid),1-7 times,Yes,No,No,No,No,No,No,No,No
ID0104,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,250.0,Before November 2022,Yes,Tap Water (National Water Supply and drainage board),We have an in-built water heating system powered solely by the grid supply.,No,Yes,Yes,Electricity (directly from the national grid),15 - 21 times,No,Yes,No,No,No,No,No,No,No
ID0105,No,No,No,No,No,Yes,,,,,,,,,,,,,No,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Other,8 - 14 times,Yes,Yes,No,No,No,No,No,No,No
ID0106,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,Before November 2022,Yes,Tap Water (National Water Supply and drainage board),"None, we do not use hot water for bathing or body wash purposes.",,,Yes,Electricity (generated from solar energy system),1-7 times,Yes,No,No,No,No,No,No,No,No
