household_ID,room_ID,ac_ID,type_of_the_ac,is_the_ac_inverter_or_not,is_room_fully_sealed,wattage_of_the_ac,btu_of_the_ac,no_of_hours_ac_was_on_during_daytime_last_week,no_of_hours_ac_was_on_during_night_last_week
ID0079,I3,I3_AC1,Individual AC with one component,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0081,I2,I2_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0083,I2,I2_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,2.0,2.0
ID0083,I9,I9_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0083,I10,I10_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0083,I11,I11_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0083,I11,I11_AC2,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,0.0,0.0,0.0
ID0083,I11,I11_AC3,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,0.0,0.0,0.0
ID0083,I12,I12_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0083,I13,I13_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0083,I14,I14_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0093,I3,I3_AC1,Individual AC with one component,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,9000.0,0.0,0.0
ID0103,I2,I2_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,7.0
ID0104,I3,I3_AC1,Individual AC with one component,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",9000.0,9000.0,0.0,4.0
ID0104,I4,I4_AC1,Individual AC with one component,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",9000.0,9000.0,0.0,0.0
ID0107,I3,I3_AC1,Individual AC with one component,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,15.0
ID0113,I2,I2_AC1,Individual AC with two components,Yes,"The room is fully closed. However, it is not fully sealed. Therefore, when the AC is on, the cool air may leak through the spaces that are not sealed such as the space in-between the door and the door frame.",0.0,,0.0,0.0
ID0114,I6,I6_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,0.0
ID0115,I2,I2_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,0.0
ID0127,I6,I6_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,84.0
ID0127,I8,I8_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,84.0
ID0128,I4,I4_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,7.0
ID0128,I6,I6_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0129,I3,I3_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0134,I4,I4_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,9000.0,0.0,0.0
ID0134,I5,I5_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,9000.0,0.0,0.0
ID0135,I1,I1_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,18.0,0.0
ID0135,I2,I2_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,35.0,0.0
ID0135,I3,I3_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,12.0,0.0
ID0149,I6,I6_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,28.0
ID0152,I2,I2_AC1,Individual AC with one component,Yes,"The room is fully closed. However, it is not fully sealed. Therefore, when the AC is on, the cool air may leak through the spaces that are not sealed such as the space in-between the door and the door frame.",0.0,12000.0,0.0,0.0
ID0154,I2,I2_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0161,I5,I5_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,2000.0,0.0,0.0
ID0174,I2,I2_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0177,I1,I1_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,18000.0,4.0,4.0
ID0177,I1,I1_AC2,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,18000.0,0.0,0.0
ID0177,I2,I2_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,18000.0,0.0,10.0
ID0177,I3,I3_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,0.0
ID0182,I2,I2_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,9000.0,7.0,1.0
ID0182,I3,I3_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,7.0,7.0
ID0183,I2,I2_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,18.0
ID0183,I3,I3_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,0.0
ID0185,I4,I4_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,18000.0,1.0,7.0
ID0185,I5,I5_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,0.0
ID0185,I6,I6_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,0.0
ID0189,I2,I2_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,42.0
ID0189,I3,I3_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,0.0
ID0189,I11,I11_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,0.0
ID0191,I3,I3_AC1,Individual AC with one component,Yes,"The room is fully closed. However, it is not fully sealed. Therefore, when the AC is on, the cool air may leak through the spaces that are not sealed such as the space in-between the door and the door frame.",0.0,,0.0,3.0
ID0198,I1,I1_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",25.0,,0.0,0.0
ID0198,I4,I4_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",18.0,,0.0,42.0
ID0198,I6,I6_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",12.0,,0.0,0.0
ID0201,I3,I3_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,9000.0,0.0,0.0
ID0201,I7,I7_AC1,Individual AC with one component,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,9000.0,0.0,0.0
ID0203,I5,I5_AC1,Individual AC with one component,Yes,The room is not fully closed. There are spaces where the cool air can leak out.,1500.0,9000.0,1.0,2.0
ID0210,I3,I3_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,2.0
ID0210,I4,I4_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,70.0
ID0230,I3,I3_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0230,I4,I4_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0230,I5,I5_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0233,I2,I2_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0234,I2,I2_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0246,I2,I2_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,28.0,84.0
ID0246,I6,I6_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0246,I14,I14_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0246,I15,I15_AC1,Individual AC with one component,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0247,I1,I1_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",18.0,18000.0,0.0,6.0
ID0247,I2,I2_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",18.0,12000.0,0.0,9.0
ID0247,I3,I3_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",12.0,10000.0,0.0,0.0
ID0247,I4,I4_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",10.0,12000.0,0.0,8.0
ID0247,I5,I5_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,10000.0,0.0,7.0
ID0247,I7,I7_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",10.0,10000.0,0.0,0.0
ID0249,I2,I2_AC1,Individual AC with one component,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,64.0
ID0250,I3,I3_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,18000.0,0.0,14.0
ID0254,I5,I5_AC1,Other,Yes,The room is not fully closed. There are spaces where the cool air can leak out.,0.0,,0.0,0.0
ID0255,I5,I5_AC1,Other,No,The room is not fully closed. There are spaces where the cool air can leak out.,0.0,,0.0,0.0
ID0257,I2,I2_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,0.0
ID0257,I3,I3_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,8.0
ID0258,I3,I3_AC1,Individual AC with one component,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",980.0,,0.0,0.0
ID0260,I3,I3_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,14.0,26.0
ID0264,I2,I2_AC1,Individual AC with two components,No,"The room is fully closed. However, it is not fully sealed. Therefore, when the AC is on, the cool air may leak through the spaces that are not sealed such as the space in-between the door and the door frame.",18.0,1000.0,7.0,7.0
ID0269,I2,I2_AC1,Central AC (Only to your Household),Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,10.0
ID0276,I1,I1_AC1,Individual AC with two components,No,The room is not fully closed. There are spaces where the cool air can leak out.,0.0,,14.0,0.0
ID0276,I6,I6_AC1,Individual AC with two components,No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,14.0,14.0
ID0278,I1,I1_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,4.0
ID0278,I2,I2_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,4.0
ID0278,I3,I3_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,4.0
ID0278,I4,I4_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,4.0
ID0278,I5,I5_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,4.0
ID0278,I6,I6_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,4.0
ID0278,I7,I7_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,4.0
ID0278,I8,I8_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,4.0
ID0278,I9,I9_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,4.0
ID0278,I10,I10_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,4.0
ID0278,I11,I11_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,4.0
ID0280,I1,I1_AC1,Individual AC with one component,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",1500.0,,0.0,0.0
ID0280,I2,I2_AC1,Individual AC with one component,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,49.0
ID0280,I3,I3_AC1,Individual AC with one component,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",1500.0,,0.0,0.0
ID0282,I1,I1_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0282,I1,I1_AC2,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,0.0,0.0,0.0
ID0282,I2,I2_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0282,I2,I2_AC2,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,0.0,0.0,0.0
ID0282,I3,I3_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0282,I3,I3_AC2,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,0.0,0.0,0.0
ID0282,I4,I4_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0282,I4,I4_AC2,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,0.0,0.0,0.0
ID0282,I5,I5_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0282,I5,I5_AC2,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,0.0,0.0,0.0
ID0282,I6,I6_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0282,I6,I6_AC2,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,0.0,0.0,0.0
ID0282,I7,I7_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0282,I7,I7_AC2,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,0.0,0.0,0.0
ID0282,I8,I8_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0282,I8,I8_AC2,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,0.0,0.0,0.0
ID0282,I9,I9_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0282,I9,I9_AC2,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,0.0,0.0,0.0
ID0282,I10,I10_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0282,I10,I10_AC2,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,0.0,0.0,0.0
ID0282,I11,I11_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0282,I11,I11_AC2,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,0.0,0.0,0.0
ID0282,I12,I12_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0282,I12,I12_AC2,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,0.0,0.0,0.0
ID0282,I13,I13_AC1,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,,0.0,0.0
ID0282,I13,I13_AC2,Central AC (Only to your Household),No,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,0.0,0.0,0.0
ID0294,I2,I2_AC1,Individual AC with one component,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,1000.0,0.0,0.0
ID0294,I3,I3_AC1,Individual AC with one component,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,1000.0,0.0,0.0
ID0296,I2,I2_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,18000.0,0.0,0.0
ID0296,I10,I10_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,56.0
ID0296,I11,I11_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,56.0
ID0296,I12,I12_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,56.0
ID0296,I13,I13_AC1,Individual AC with two components,Yes,"The room can be fully closed and sealed and there are no outside openings. When the AC is turned on, the cool air does not go out of the room.",0.0,12000.0,0.0,56.0
