household_ID,room_ID,main_purpose_of_the_room,storey_which_the_room_located,main_material_used_for_the_roof_of_the_room,type_of_ceiling_of_the_room,main_material_used_for_the_floor_of_the_room,no_of_doors_opened_to_external_environment,no_of_windows,main_material_used_for_window_panes,have_curtains_or_blinds_for_windows,have_extra_ventilation_openings,no_of_bulbs_in_the_room,no_of_bulbs_used_during_last_week,no_of_fans_in_the_room,no_of_ACs_in_the_room
ID0003,I7      ,Bathroom and / or toilets,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,0.0,,0.0,0.0
ID0003,I8      ,Gaming room,0.0,Tile,A conventional ceiling,Cement,1.0,1.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0003,I9      ,Servant's Room,0.0,Tile,A conventional ceiling,Cement,1.0,1.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0003,I10     ,Passage,0.0,Tile,A conventional ceiling,Cement,1.0,1.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0004,I1      ,Living room,0.0,Concrete,"No ceiling, the concrete slab",Tile,2.0,1.0,Wood,Yes,No,8.0,,0.0,0.0
ID0004,I2      ,Living room,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,2.0,Glass,Yes,No,2.0,,0.0,0.0
ID0004,I3      ,Bedrooms,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,2.0,Glass,Yes,No,2.0,,0.0,0.0
ID0004,I4      ,Bedrooms,1.0,Concrete,"No ceiling, the concrete slab",Tile,2.0,2.0,Glass,Yes,No,2.0,,0.0,0.0
ID0004,I5      ,Bedrooms,1.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,2.0,Glass,Yes,No,2.0,,1.0,0.0
ID0004,I6      ,Bedrooms,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,1.0,Glass,No,No,2.0,,0.0,0.0
ID0004,I7      ,Kitchen and/ or pantry,1.0,Concrete,"No ceiling, the concrete slab",Teraso,0.0,4.0,Glass,Yes,No,4.0,,0.0,0.0
ID0004,I8      ,Bathroom and / or toilets,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,0.0,,,No,1.0,,0.0,0.0
ID0004,I9      ,Bathroom and / or toilets,1.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,0.0,,,Yes,1.0,,0.0,0.0
ID0004,I10     ,Gaming room,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,0.0,,,Yes,2.0,,0.0,0.0
ID0004,I11     ,Servant's Room,1.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,0.0,,,Yes,2.0,,0.0,0.0
ID0004,I12     ,Passage,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,1.0,0.0,,,Garden - Not relevant,2.0,,0.0,0.0
ID0005,I1      ,Living room,10.0,Concrete,"No ceiling, just the roof above",Tile,0.0,2.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0005,I2      ,Bedrooms,10.0,Concrete,"No ceiling, just the roof above",Tile,0.0,2.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0005,I3      ,Bedrooms,10.0,Concrete,"No ceiling, just the roof above",Tile,2.0,1.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0005,I4      ,Kitchen and/ or pantry,4.0,Concrete,"No ceiling, just the roof above",Tile,0.0,1.0,Glass,No,Yes,0.0,,0.0,0.0
ID0005,I5      ,Bathroom and / or toilets,10.0,Concrete,"No ceiling, just the roof above",Tile,0.0,0.0,,,No,0.0,,0.0,0.0
ID0006,I1      ,Living room,7.0,Concrete,Other,Tile,1.0,2.0,Glass,No,Yes,1.0,,1.0,0.0
ID0006,I2      ,Bedrooms,7.0,Concrete,Other,Tile,0.0,2.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0006,I3      ,Bedrooms,7.0,Concrete,Other,Tile,0.0,2.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0006,I4      ,Kitchen and/ or pantry,7.0,Concrete,Other,Tile,1.0,0.0,,,No,1.0,,0.0,0.0
ID0006,I5      ,Bathroom and / or toilets,7.0,Concrete,Other,Tile,0.0,1.0,Glass,No,Yes,1.0,,0.0,0.0
ID0006,I6      ,Gaming room,7.0,Concrete,Other,Cement,0.0,0.0,,,No,1.0,,0.0,0.0
ID0007,I1      ,Living room,2.0,Concrete,Other,Cement,1.0,2.0,Other,No,Yes,1.0,,0.0,0.0
ID0007,I2      ,Bedrooms,2.0,Concrete,Other,Cement,0.0,2.0,Glass,No,Yes,1.0,,1.0,0.0
ID0007,I3      ,Bedrooms,2.0,Concrete,Other,Cement,1.0,1.0,Glass,No,Yes,1.0,,0.0,0.0
ID0007,I4      ,Kitchen and/ or pantry,2.0,Concrete,Other,Tile,0.0,1.0,Glass,No,Yes,1.0,,0.0,0.0
ID0007,I5      ,Bathroom and / or toilets,2.0,Concrete,Other,Cement,0.0,0.0,,,Yes,1.0,,0.0,0.0
ID0007,I6      ,Gaming room,2.0,Concrete,Other,Cement,0.0,2.0,Glass,No,Yes,1.0,,0.0,0.0
ID0007,I7      ,Veranda,,,,,,,,,,,,,
ID0007,I8      ,Veranda,,,,,,,,,,,,,
ID0007,I9      ,Veranda,,,,,,,,,,,,,
ID0007,I10     ,Veranda,,,,,,,,,,,,,
ID0008,I1      ,Living room,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,5.0,Glass,Yes,Yes,3.0,,1.0,0.0
ID0008,I2      ,Bedrooms,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,3.0,Glass,Yes,Yes,2.0,,1.0,0.0
ID0008,I3      ,Kitchen and/ or pantry,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,0.0,,,Yes,1.0,,0.0,0.0
ID0008,I4      ,Bathroom and / or toilets,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,2.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0008,I5      ,Gaming room,1.0,Other,Wooden ceiling,Tile,2.0,0.0,,,Yes,2.0,,1.0,0.0
ID0008,I6      ,Passage,2.0,Other,Wooden ceiling,Tile,1.0,1.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0009,I1      ,Living room,0.0,Asbestos,"No ceiling, just the roof above",Cement,2.0,2.0,Wood,Yes,No,1.0,,0.0,0.0
ID0009,I2      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,No,1.0,,0.0,0.0
ID0009,I3      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,2.0,Wood,Yes,No,1.0,,0.0,0.0
ID0009,I4      ,Bedrooms,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,1.0,Wood,No,No,1.0,,0.0,0.0
ID0009,I5      ,Kitchen and/ or pantry,0.0,Asbestos,"No ceiling, just the roof above",Cement,1.0,2.0,Wood,Yes,No,1.0,,0.0,0.0
ID0009,I6      ,Bathroom and / or toilets,0.0,Asbestos,"No ceiling, just the roof above",Cement,0.0,0.0,,,Yes,1.0,,0.0,0.0
ID0009,I7      ,Veranda,,,,,,,,,,,,,
ID0009,I8      ,Veranda,,,,,,,,,,,,,
ID0009,I9      ,Veranda,,,,,,,,,,,,,
ID0009,I10     ,Veranda,,,,,,,,,,,,,
ID0010,I1      ,Living room,0.0,Tile,A conventional ceiling,Cement,1.0,2.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0010,I2      ,Bedrooms,0.0,Tile,"No ceiling, just the roof above",Cement,1.0,2.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0010,I3      ,Bedrooms,0.0,Tile,"No ceiling, just the roof above",Cement,1.0,2.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0010,I4      ,Bedrooms,0.0,Tile,A polythene cover as a ceiling,Cement,2.0,5.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0010,I5      ,Kitchen and/ or pantry,0.0,Tile,"No ceiling, the concrete slab",Cement,2.0,2.0,Net,No,Yes,2.0,,0.0,0.0
ID0010,I6      ,Bathroom and / or toilets,0.0,Concrete,"No ceiling, just the roof above",Cement,1.0,1.0,Wood,No,Yes,1.0,,0.0,0.0
ID0010,I7      ,Veranda,,,,,,,,,,,,,
ID0010,I8      ,Veranda,,,,,,,,,,,,,
ID0010,I9      ,Veranda,,,,,,,,,,,,,
ID0010,I10     ,Veranda,,,,,,,,,,,,,
ID0011,I1      ,Living room,0.0,Other,"No ceiling, the concrete slab",Concrete,1.0,1.0,Glass,No,Yes,3.0,,1.0,0.0
ID0011,I2      ,Bedrooms,0.0,Concrete,"No ceiling, the concrete slab",Concrete,2.0,3.0,"None, it's open",No,Yes,3.0,,1.0,0.0
ID0011,I3      ,Bedrooms,0.0,Concrete,"No ceiling, the concrete slab",Concrete,2.0,3.0,"None, it's open",No,Yes,3.0,,1.0,0.0
ID0011,I4      ,Kitchen and/ or pantry,0.0,Concrete,"No ceiling, the concrete slab",Concrete,2.0,3.0,"None, it's open",No,Yes,3.0,,1.0,0.0
ID0011,I5      ,Bathroom and / or toilets,0.0,Concrete,"No ceiling, the concrete slab",Concrete,2.0,3.0,"None, it's open",No,Yes,3.0,,1.0,0.0
ID0011,I6      ,Gaming room,0.0,Concrete,"No ceiling, the concrete slab",Concrete,2.0,3.0,"None, it's open",No,Yes,3.0,,1.0,0.0
ID0011,I7      ,Passage,0.0,Concrete,"No ceiling, the concrete slab",Concrete,2.0,3.0,"None, it's open",No,Yes,3.0,,1.0,0.0
ID0011,I8      ,Veranda,,,,,,,,,,,,,
ID0011,I9      ,Veranda,,,,,,,,,,,,,
ID0011,I10     ,Veranda,,,,,,,,,,,,,
ID0012,I1      ,Living room,0.0,Concrete,Wooden ceiling,Tile,2.0,8.0,Glass,Yes,Yes,3.0,,1.0,0.0
ID0012,I2      ,Living room,1.0,Asbestos,Wooden ceiling,Tile,1.0,3.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0012,I3      ,Bedrooms,0.0,Asbestos,"No ceiling, the concrete slab",Tile,1.0,6.0,Glass,Yes,Yes,1.0,,1.0,1.0
ID0012,I4      ,Bedrooms,0.0,Concrete,A conventional ceiling,Tile,1.0,2.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0012,I5      ,Bedrooms,0.0,Concrete,"No ceiling, the concrete slab",Tile,2.0,3.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0012,I6      ,Bedrooms,1.0,Asbestos,Wooden ceiling,Tile,2.0,3.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0012,I7      ,Bedrooms,1.0,Asbestos,Wooden ceiling,Tile,2.0,3.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0012,I8      ,Kitchen and/ or pantry,0.0,Concrete,Wooden ceiling,Tile,2.0,4.0,Glass,No,Yes,3.0,,0.0,0.0
ID0012,I9      ,Kitchen and/ or pantry,1.0,Asbestos,Wooden ceiling,Tile,2.0,3.0,Glass,Yes,Yes,2.0,,0.0,0.0
ID0012,I10     ,Bathroom and / or toilets,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,1.0,Wood,No,Yes,1.0,,0.0,0.0
ID0012,I11     ,Bathroom and / or toilets,1.0,Asbestos,Wooden ceiling,Tile,1.0,1.0,Glass,No,Yes,1.0,,0.0,0.0
ID0012,I12     ,Gaming room,0.0,Asbestos,Wooden ceiling,Tile,4.0,4.0,Glass,No,Yes,4.0,,0.0,0.0
ID0012,I13     ,Servant's Room,0.0,Concrete,"No ceiling, the concrete slab",Cement,1.0,0.0,,,No,1.0,,0.0,0.0
ID0012,I14     ,Passage,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,No,0.0,,0.0,0.0
ID0013,I1      ,Living room,7.0,Asbestos,Wooden ceiling,Tile,1.0,3.0,Wood,Yes,Yes,1.0,,1.0,0.0
ID0013,I2      ,Bedrooms,0.0,Asbestos,Wooden ceiling,Teraso,1.0,3.0,Wood,Yes,Yes,1.0,,1.0,0.0
ID0013,I3      ,Bedrooms,0.0,Asbestos,Wooden ceiling,Tile,1.0,3.0,Wood,Yes,Yes,1.0,,1.0,0.0
ID0013,I4      ,Bedrooms,0.0,Asbestos,Wooden ceiling,Tile,1.0,3.0,Wood,Yes,Yes,1.0,,1.0,0.0
ID0013,I5      ,Bedrooms,0.0,Asbestos,Wooden ceiling,Tile,1.0,1.0,Wood,Yes,Yes,1.0,,0.0,0.0
ID0013,I6      ,Kitchen and/ or pantry,0.0,Asbestos,Wooden ceiling,Tile,1.0,3.0,Wood,Yes,Yes,1.0,,0.0,0.0
ID0013,I7      ,Bathroom and / or toilets,0.0,Asbestos,Wooden ceiling,Tile,0.0,0.0,,,Garden - Not relevant,1.0,,0.0,0.0
ID0013,I8      ,Gaming room,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,2.0,,0.0,0.0
ID0013,I9      ,Passage,0.0,Asbestos,Wooden ceiling,Tile,1.0,3.0,Wood,Yes,Yes,1.0,,2.0,0.0
ID0013,I10     ,Veranda,,,,,,,,,,,,,
ID0014,I1      ,Living room,1.0,Asbestos,A conventional ceiling,Tile,1.0,3.0,Wood,Yes,No,5.0,,2.0,0.0
ID0014,I2      ,Bedrooms,1.0,Asbestos,A conventional ceiling,Cement,0.0,3.0,Wood,Yes,No,2.0,,1.0,0.0
ID0014,I3      ,Bedrooms,1.0,Asbestos,A conventional ceiling,Cement,0.0,3.0,Wood,Yes,No,2.0,,1.0,1.0
ID0014,I4      ,Bedrooms,1.0,Asbestos,A conventional ceiling,Cement,0.0,3.0,Wood,Yes,No,2.0,,1.0,0.0
ID0014,I5      ,Bedrooms,1.0,Asbestos,A conventional ceiling,Cement,0.0,3.0,Wood,Yes,Yes,2.0,,1.0,0.0
ID0014,I6      ,Kitchen and/ or pantry,1.0,Asbestos,A conventional ceiling,Tile,1.0,3.0,Wood,No,Yes,1.0,,0.0,0.0
ID0014,I7      ,Bathroom and / or toilets,1.0,Asbestos,A conventional ceiling,Tile,0.0,1.0,Wood,No,Yes,1.0,,0.0,0.0
ID0014,I8      ,Gaming room,1.0,Asbestos,A conventional ceiling,Tile,0.0,0.0,,,No,2.0,,0.0,0.0
ID0014,I9      ,Veranda,,,,,,,,,,,,,
ID0014,I10     ,Veranda,,,,,,,,,,,,,
ID0015,I1      ,Living room,10.0,Concrete,"No ceiling, the concrete slab",Cement,1.0,2.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0015,I2      ,Bedrooms,10.0,Concrete,"No ceiling, the concrete slab",Cement,0.0,2.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0015,I3      ,Bedrooms,10.0,Concrete,"No ceiling, the concrete slab",Cement,0.0,2.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0015,I4      ,Kitchen and/ or pantry,10.0,Concrete,"No ceiling, the concrete slab",Cement,1.0,1.0,Glass,No,Yes,1.0,,0.0,0.0
ID0015,I5      ,Bathroom and / or toilets,10.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,1.0,Glass,No,Yes,1.0,,0.0,0.0
ID0015,I6      ,Gaming room,10.0,Concrete,"No ceiling, the concrete slab",Cement,0.0,0.0,,,No,1.0,,0.0,0.0
ID0016,I1      ,Living room,0.0,Asbestos,Other,Cement,2.0,2.0,Glass,No,No,1.0,,0.0,0.0
ID0016,I2      ,Bedrooms,0.0,Asbestos,Other,Cement,1.0,1.0,Glass,No,No,1.0,,1.0,0.0
ID0016,I3      ,Bedrooms,0.0,Asbestos,A polythene cover as a ceiling,Cement,1.0,1.0,Glass,Yes,No,1.0,,1.0,0.0
ID0016,I4      ,Bedrooms,0.0,Asbestos,Other,Cement,1.0,1.0,Glass,No,No,1.0,,0.0,0.0
ID0016,I5      ,Kitchen and/ or pantry,0.0,Asbestos,Other,Cement,1.0,1.0,Glass,No,No,1.0,,0.0,0.0
ID0016,I6      ,Bathroom and / or toilets,0.0,Asbestos,Other,Cement,1.0,0.0,,,Yes,0.0,,0.0,0.0
ID0016,I7      ,Veranda,,,,,,,,,,,,,
ID0016,I8      ,Veranda,,,,,,,,,,,,,
ID0016,I9      ,Veranda,,,,,,,,,,,,,
ID0016,I10     ,Veranda,,,,,,,,,,,,,
ID0017,I1      ,Living room,0.0,Tile,Other,Mud,1.0,2.0,"None, it's open",No,No,1.0,,0.0,0.0
ID0017,I2      ,Bedrooms,0.0,Tile,Other,Cement,1.0,1.0,"None, it's open",No,No,0.0,,0.0,0.0
ID0017,I3      ,Bedrooms,0.0,Tile,Other,Cement,1.0,2.0,Wood,No,No,0.0,,0.0,0.0
ID0017,I4      ,Kitchen and/ or pantry,1.0,Takaran,Other,Cement,1.0,0.0,,,Yes,0.0,,0.0,0.0
ID0017,I5      ,Bathroom and / or toilets,0.0,Tile,Other,Cement,1.0,0.0,,,No,0.0,,0.0,0.0
ID0018,I1      ,Living room,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,13.0,Glass,Yes,Yes,9.0,,2.0,0.0
ID0018,I2      ,Living room,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,2.0,Glass,Yes,Yes,2.0,,1.0,0.0
ID0018,I3      ,Bedrooms,0.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,0.0,,,Yes,2.0,,1.0,0.0
ID0018,I4      ,Bedrooms,1.0,Asbestos,A beamed ceiling,Tile,4.0,0.0,,,Yes,3.0,,0.0,0.0
ID0018,I5      ,Bedrooms,1.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,6.0,Glass,Yes,Yes,4.0,,1.0,1.0
ID0018,I6      ,Bedrooms,1.0,Asbestos,A beamed ceiling,Tile,1.0,4.0,Glass,Yes,Yes,2.0,,1.0,0.0
ID0018,I7      ,Bedrooms,1.0,Asbestos,A beamed ceiling,Tile,1.0,4.0,Glass,Yes,Yes,2.0,,1.0,0.0
ID0018,I8      ,Kitchen and/ or pantry,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,3.0,Glass,Yes,Yes,2.0,,0.0,0.0
ID0018,I9      ,Kitchen and/ or pantry,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,4.0,Glass,Yes,Yes,3.0,,0.0,0.0
ID0018,I10     ,Bathroom and / or toilets,0.0,Concrete,"No ceiling, the concrete slab",Tile,1.0,0.0,,,Yes,1.0,,0.0,0.0
ID0018,I11     ,Bathroom and / or toilets,0.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,1.0,Glass,No,Yes,2.0,,0.0,0.0
ID0018,I12     ,Bathroom and / or toilets,1.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,1.0,Wood,No,Yes,2.0,,0.0,0.0
ID0018,I13     ,Bathroom and / or toilets,1.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,1.0,Glass,No,Yes,2.0,,0.0,0.0
ID0018,I14     ,Passage,0.0,Asbestos,A beamed ceiling,Tile,0.0,0.0,,,No,2.0,,0.0,0.0
ID0018,I15     ,Gaming room,0.0,Asbestos,A beamed ceiling,Tile,0.0,0.0,,,No,3.0,,0.0,0.0
ID0018,I16     ,Gaming room,1.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,0.0,,,No,1.0,,0.0,0.0
ID0018,I17     ,Gaming room,1.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,0.0,,,No,1.0,,0.0,0.0
ID0018,I18     ,Gaming room,1.0,Concrete,"No ceiling, the concrete slab",Tile,0.0,0.0,,,No,1.0,,0.0,0.0
ID0018,I19     ,Gaming room,0.0,Concrete,"No ceiling, the concrete slab",Concrete,0.0,0.0,,,No,1.0,,0.0,0.0
ID0018,I20     ,Gaming room,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,2.0,,0.0,0.0
ID0019,I1      ,Living room,0.0,Asbestos,A hanging ceiling,Tile,1.0,6.0,Glass,Yes,Yes,5.0,,0.0,0.0
ID0019,I2      ,Bedrooms,0.0,Asbestos,A hanging ceiling,Tile,1.0,3.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0019,I3      ,Bedrooms,0.0,Asbestos,A hanging ceiling,Tile,1.0,2.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0019,I4      ,Bedrooms,0.0,Asbestos,A hanging ceiling,Tile,1.0,2.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0019,I5      ,Kitchen and/ or pantry,0.0,Asbestos,A hanging ceiling,Tile,2.0,2.0,Wood,No,No,2.0,,0.0,0.0
ID0019,I6      ,Kitchen and/ or pantry,0.0,Asbestos,"No ceiling, the concrete slab",Tile,1.0,0.0,,,Yes,1.0,,0.0,0.0
ID0019,I7      ,Bathroom and / or toilets,0.0,Asbestos,A hanging ceiling,Tile,1.0,3.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0019,I8      ,Passage,0.0,Asbestos,Garden - Not relevant,Cement,0.0,0.0,,,Garden - Not relevant,4.0,,0.0,0.0
ID0019,I9      ,Passage,0.0,Other,Other,Other,8.0,0.0,,,Garden - Not relevant,0.0,,0.0,0.0
ID0019,I10     ,Passage,0.0,Other,Other,Other,0.0,0.0,,,No,0.0,,0.0,0.0
ID0019,I11     ,Passage,0.0,Other,Other,Other,0.0,0.0,,,No,0.0,,0.0,0.0
ID0019,I12     ,Passage,0.0,Other,Other,Other,0.0,0.0,,,No,0.0,,0.0,0.0
ID0019,I13     ,Passage,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,0.0,,0.0,0.0
ID0019,I14     ,Passage,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,0.0,,0.0,0.0
ID0019,I15     ,Passage,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,0.0,,0.0,0.0
ID0020,I1      ,Living room,0.0,Asbestos,A conventional ceiling,Tile,1.0,6.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0020,I2      ,Bedrooms,0.0,Asbestos,Other,Cement,1.0,3.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0020,I3      ,Bedrooms,0.0,Asbestos,Other,Cement,0.0,3.0,Glass,Yes,Yes,1.0,,0.0,0.0
ID0020,I4      ,Bedrooms,0.0,Asbestos,Other,Cement,0.0,3.0,Glass,Yes,Yes,1.0,,1.0,0.0
ID0020,I5      ,Kitchen and/ or pantry,0.0,Asbestos,Other,Cement,1.0,3.0,Glass,No,Yes,1.0,,0.0,0.0
ID0020,I6      ,Kitchen and/ or pantry,0.0,Other,"No ceiling, just the roof above",Tile,0.0,3.0,Glass,No,Yes,1.0,,0.0,0.0
ID0020,I7      ,Bathroom and / or toilets,0.0,Asbestos,A conventional ceiling,Tile,1.0,1.0,Net,No,Yes,1.0,,0.0,0.0
ID0020,I8      ,Gaming room,0.0,Asbestos,Other,Tile,0.0,0.0,,,No,1.0,,0.0,0.0
ID0020,I9      ,Veranda,0.0,Garden - Not relevant,Garden - Not relevant,Garden - Not relevant,0.0,0.0,,,Garden - Not relevant,1.0,,0.0,0.0
ID0020,I10     ,Veranda,,,,,,,,,,,,,
ID0020,IOth1  ,Other,0.0,Takaran,"No ceiling, just the roof above",Cement,1.0,0.0,,,Yes,1.0,,0.0,0.0
ID0021,I1      ,Living room,1.0,Concrete,A beamed ceiling,Tile,1.0,5.0,Glass,No,Yes,3.0,,2.0,0.0
ID0021,I2      ,Bedrooms,2.0,Asbestos,A conventional ceiling,Tile,0.0,3.0,Glass,Yes,Yes,3.0,,1.0,0.0
ID0021,I3      ,Bedrooms,2.0,Asbestos,A conventional ceiling,Tile,0.0,3.0,Glass,Yes,Yes,1.0,,1.0,0.0
